"Version (0 = Fixed Task)","Task","Concept","Att 1 - Panel Efficiency","Att 2 - Panel Visibility","Att 3 - Inverter Type","Att 4 - Failure in First Five Years","Att 5 - Environmental Benefits","Att 6 - Savings in 25 Years"
12,13,1,2,1,1,2,2,4
12,13,2,1,1,3,4,1,2
12,13,3,3,2,2,4,3,4
12,14,1,1,2,1,1,3,3
12,14,2,3,1,3,3,2,2
12,14,3,2,1,2,1,1,1
12,15,1,3,2,3,2,1,5
12,15,2,2,2,1,1,2,4
12,15,3,1,1,2,3,3,5
13,1,1,1,1,3,3,2,1
13,1,2,2,2,1,4,1,3
13,1,3,3,2,1,4,3,2
13,2,1,3,2,3,4,1,5
13,2,2,2,1,2,2,2,5
13,2,3,1,1,2,1,1,3
13,3,1,3,2,2,2,2,1
13,3,2,2,2,3,1,1,2
13,3,3,1,1,1,3,3,3
13,4,1,2,1,3,2,3,2
13,4,2,1,2,3,3,1,4
13,4,3,3,1,1,4,3,4
13,5,1,3,1,1,1,2,1
13,5,2,2,2,3,3,2,3
13,5,3,1,2,2,4,3,1
13,6,1,1,2,1,4,2,4
13,6,2,2,1,2,2,3,4
13,6,3,1,1,2,2,1,2
13,7,1,3,2,1,3,2,5
13,7,2,3,1,2,4,1,3
13,7,3,2,1,3,1,3,4
13,8,1,2,2,3,3,3,1
13,8,2,1,2,2,2,2,1
13,8,3,3,1,1,2,1,2
13,9,1,1,2,2,3,3,3
13,9,2,1,2,1,1,1,5
13,9,3,2,1,2,1,2,5
13,10,1,3,2,3,4,3,1
13,10,2,3,1,1,2,1,2
13,10,3,2,1,3,3,2,2
13,11,1,2,1,2,2,1,3
13,11,2,3,2,1,2,3,5
13,11,3,1,1,3,4,2,5
13,12,1,2,2,1,3,1,1
13,12,2,3,1,2,1,3,2
13,12,3,1,2,3,1,2,3
13,13,1,2,2,2,4,2,5
13,13,2,1,2,1,2,3,4
13,13,3,3,1,3,1,1,4
13,14,1,2,1,2,4,3,1
13,14,2,3,1,3,3,2,3
13,14,3,1,2,3,1,1,1
13,15,1,2,2,1,1,2,3
